Year,Period,labor force,employment,unemployment,unemployment rate
2011,Jan,1424485,1306400,118085,8.3
2011,Feb,1422230,1307044,115186,8.1
2011,Mar,1432590,1322229,110361,7.7
2011,Apr,1429523,1326317,103206,7.2
2011,May,1435377,1328170,107207,7.5
2011,Jun,1447459,1330309,117150,8.1
2011,Jul,1452134,1334910,117224,8.1
2011,Aug,1443713,1328972,114741,7.9
2011,Sep,1437605,1329356,108249,7.5
2011,Oct,1446198,1340504,105694,7.3
2011,Nov,1442672,1342749,99923,6.9
2011,Dec,1441853,1342370,99483,6.9
2012,Jan,1437378,1329819,107559,7.5
2012,Feb,1440364,1333227,107137,7.4
2012,Mar,1446816,1344785,102031,7.1
2012,Apr,1441206,1346638,94568,6.6
2012,May,1450529,1349666,100863,7
2012,Jun,1466756,1354664,112092,7.6
2012,Jul,1475129,1361461,113668,7.7
2012,Aug,1460389,1350865,109524,7.5
2012,Sep,1457024,1356818,100206,6.9
2012,Oct,1469038,1367886,101152,6.9
2012,Nov,1460477,1362610,97867,6.7
2012,Dec,1460465,1361467,98998,6.8
2013,Jan,1460062,1349413,110649,7.6
2013,Feb,1456494,1351177,105317,7.2
2013,Mar,1461070,1360565,100505,6.9
2013,Apr,1457222,1364115,93107,6.4
2013,May,1465410,1366284,99126,6.8
2013,Jun,1480001,1371904,108097,7.3
2013,Jul,1481323,1376086,105237,7.1
2013,Aug,1464056,1363514,100542,6.9
2013,Sep,1457989,1363915,94074,6.5
2013,Oct,1456496,1360694,95802,6.6
2013,Nov,1453556,1364182,89374,6.1
2013,Dec,1445697,1361171,84526,5.8
2014,Jan,1443516,1349627,93889,6.5
2014,Feb,1445852,1351860,93992,6.5
2014,Mar,1455468,1363765,91703,6.3
2014,Apr,1451813,1372474,79339,5.5
2014,May,1458651,1373101,85550,5.9
2014,Jun,1471373,1380128,91245,6.2
2014,Jul,1479812,1384570,95242,6.4
2014,Aug,1467250,1375724,91526,6.2
2014,Sep,1456807,1375775,81032,5.6
2014,Oct,1467820,1386905,80915,5.5
2014,Nov,1464069,1383936,80133,5.5
2014,Dec,1457499,1381313,76186,5.2
2015,Jan,1458016,1370392,87624,6
2015,Feb,1456997,1374221,82776,5.7
2015,Mar,1464281,1384638,79643,5.4
2015,Apr,1464940,1394024,70916,4.8
2015,May,1476522,1399073,77449,5.2
2015,Jun,1484562,1403429,81133,5.5
2015,Jul,1492063,1410127,81936,5.5
2015,Aug,1478373,1401199,77174,5.2
2015,Sep,1461459,1391612,69847,4.8
2015,Oct,1474609,1403510,71099,4.8
2015,Nov,1471320,1403373,67947,4.6
2015,Dec,1468604,1404735,63869,4.3
2016,Jan,1457843,1387141,70702,4.8
2016,Feb,1459373,1390025,69348,4.8
2016,Mar,1465348,1398485,66863,4.6
2016,Apr,1460244,1400380,59864,4.1
2016,May,1466352,1405972,60380,4.1
2016,Jun,1481517,1412632,68885,4.6
2016,Jul,1489278,1419046,70232,4.7
2016,Aug,1478855,1410093,68762,4.6
2016,Sep,1471094,1408640,62454,4.2
2016,Oct,1480908,1417019,63889,4.3
2016,Nov,1477766,1417650,60116,4.1
2016,Dec,1474070,1415425,58645,4
2017,Jan,1475423,1406185,69238,4.7
2017,Feb,1475223,1408987,66236,4.5
2017,Mar,1484140,1422172,61968,4.2
2017,Apr,1487361,1429818,57543,3.9
2017,May,1490670,1431760,58910,4
